0_11\point2016.txt 0_11\point2020_seg.txt
0_2\point2016.txt 0_2\point2020.txt
0_3\point2016.txt 0_3\point2020.txt
0_5\point2016.txt 0_5\point2020.txt
0_7\point2016.txt 0_7\point2020.txt
0_9\point2016.txt 0_9\point2020_seg.txt
10_1\point2016_seg.txt 10_1\point2020_seg.txt
10_13\point2016.txt 10_13\point2020_seg.txt
10_2\point2016.txt 10_2\point2020.txt
10_3\point2016.txt 10_3\point2020.txt
10_5\point2016.txt 10_5\point2020_seg.txt
10_6\point2016.txt 10_6\point2020.txt
10_7\point2016.txt 10_7\point2020.txt
10_8\point2016.txt 10_8\point2020.txt
10_9\point2016.txt 10_9\point2020.txt
11_1\point2016_seg.txt 11_1\point2020.txt
11_11\point2016.txt 11_11\point2020.txt
11_12\point2016_seg.txt 11_12\point2020_seg.txt
11_2\point2016.txt 11_2\point2020.txt
11_4\point2016.txt 11_4\point2020.txt
11_5\point2016.txt 11_5\point2020.txt
11_6\point2016.txt 11_6\point2020.txt
11_7\point2016.txt 11_7\point2020.txt
11_9\point2016_seg.txt 11_9\point2020.txt
12_2\point2016.txt 12_2\point2020.txt
12_3\point2016.txt 12_3\point2020.txt
13_1\point2016_seg.txt 13_1\point2020.txt
13_2\point2016.txt 13_2\point2020_seg.txt
13_3\point2016.txt 13_3\point2020_seg.txt
13_6\point2016.txt 13_6\point2020_seg.txt
13_7\point2016_seg.txt 13_7\point2020_seg.txt
13_8\point2016.txt 13_8\point2020.txt
14_1\point2016.txt 14_1\point2020.txt
14_11\point2016_seg.txt 14_11\point2020.txt
14_12\point2016_seg.txt 14_12\point2020.txt
14_13\point2016.txt 14_13\point2020_seg.txt
14_14\point2016_seg.txt 14_14\point2020_seg.txt
14_15\point2016.txt 14_15\point2020.txt
14_16\point2016.txt 14_16\point2020.txt
14_18\point2016.txt 14_18\point2020.txt
14_2\point2016.txt 14_2\point2020.txt
14_8\point2016.txt 14_8\point2020.txt
14_9\point2016_seg.txt 14_9\point2020.txt
17_6\point2016.txt 17_6\point2020.txt
18_1\point2016.txt 18_1\point2020_seg.txt
18_2\point2016.txt 18_2\point2020_seg.txt
18_3\point2016.txt 18_3\point2020.txt
18_4\point2016.txt 18_4\point2020.txt
18_5\point2016_seg.txt 18_5\point2020_seg.txt
19_1\point2016_seg.txt 19_1\point2020_seg.txt
19_2\point2016_seg.txt 19_2\point2020.txt
19_3\point2016_seg.txt 19_3\point2020.txt
19_6\point2016_seg.txt 19_6\point2020_seg.txt
19_7\point2016_seg.txt 19_7\point2020.txt
21_1\point2016_seg.txt 21_1\point2020.txt
21_10\point2016.txt 21_10\point2020_seg.txt
21_2\point2016_seg.txt 21_2\point2020.txt
21_4\point2016_seg.txt 21_4\point2020.txt
21_5\point2016.txt 21_5\point2020_seg.txt
21_7\point2016.txt 21_7\point2020.txt
21_8\point2016.txt 21_8\point2020.txt
21_9\point2016.txt 21_9\point2020.txt
22_2\point2016_seg.txt 22_2\point2020.txt
22_3\point2016_seg.txt 22_3\point2020_seg.txt
22_4\point2016_seg.txt 22_4\point2020_seg.txt
23_1\point2016_seg.txt 23_1\point2020.txt
23_2\point2016_seg.txt 23_2\point2020_seg.txt
23_3\point2016_seg.txt 23_3\point2020_seg.txt
23_4\point2016_seg.txt 23_4\point2020_seg.txt
23_6\point2016_seg.txt 23_6\point2020.txt
23_7\point2016.txt 23_7\point2020.txt
23_8\point2016.txt 23_8\point2020_seg.txt
23_9\point2016_seg.txt 23_9\point2020_seg.txt
24_1\point2016.txt 24_1\point2020.txt
24_10\point2016_seg.txt 24_10\point2020.txt
24_11\point2016.txt 24_11\point2020.txt
24_12\point2016_seg.txt 24_12\point2020.txt
24_14\point2016.txt 24_14\point2020.txt
24_15\point2016.txt 24_15\point2020.txt
24_17\point2016_seg.txt 24_17\point2020_seg.txt
24_19\point2016_seg.txt 24_19\point2020.txt
